Top Exportaciones del año,Total Exportación Mundial,Export. Mundial Prodc. 0610,Export. Mundial Prodc. 0510,Export. Mundial Prodc. 2421,Export. Mundial Prodc. 1061,Export. Mundial Prodc. 1921
FOBDO 2012,"14,736,023,389.00","1,036,364,822.00","123,144,312.00","399,835,336.00","19,527,692.00","856,978,301.00"
FOBDO 2013,"16,404,040,875.00","1,195,066,834.00","109,239,523.00","499,038,404.00","15,431,800.00","1,017,853,319.00"
FOBDO 2014,"16,523,754,875.00","1,131,795,932.00","94,748,618.00","320,900,268.00","19,382,910.00","986,959,597.00"
FOBDO 2015,"14,457,468,581.00","636,961,184.00","73,396,170.00","313,780,176.00","18,496,285.00","640,704,395.00"
FOBDO 2016,"14,022,319,795.00","547,129,195.00","71,883,099.00","330,830,788.00","18,160,973.00","540,177,244.00"
FOBDO 2017,"15,970,196,280.00","577,110,543.00","110,061,464.00","363,184,013.00","19,322,782.00","660,340,706.00"
FOBDO 2018,"17,426,846,181.00","784,211,072.00","126,128,732.00","350,601,002.00","17,118,413.00","808,416,759.00"
FOBDO 2019,"17,081,615,065.00","767,207,318.00","112,629,437.00","369,807,564.00","16,853,749.00","781,964,585.00"
FOBDO 2020,"15,997,522,231.00","510,698,068.00","79,785,792.00","486,368,640.00","17,147,468.00","519,842,865.00"
FOBDO 2021,"20,231,273,582.00","792,062,690.00","125,212,372.00","528,233,751.00","19,915,419.00","936,052,212.00"
